dpci,void_flag,itm_ent_mthd,count,ovrd_prc_var,reg_rtl,sell_rtl,cf_prc_ovrd_amt,cf_price_dif,Item Price,Override Variance,pvr_adj_amt
002-56-3763, ,S,1,0,70,35,35,35,70,0.5,0
002-56-6417, ,S,1,0,65,52,13,13,65,0.2,0
002-56-7276,,SCANNED,1,0,70,49,21,21,70,0.3,0
002-63-0263, ,S,1,0,5.39,5.39,0,0,5.39,0,0
002-63-0263, ,S,1,0,8.99,8.99,0,0,8.99,0,0
002-63-0337, ,S,1,0,5.69,5.69,0,0,5.69,0,0
002-63-0730, ,S,1,0,9.99,9.99,0,0,9.99,0,0
002-63-0730, ,S,2,0,9.98,9.98,0,0,4.99,0,0
002-63-1211, ,S,1,0,4.04,4.04,0,0,4.04,0,0
002-63-1400, ,S,2,0,39.98,23.98,16,16,19.99,0.4002001,0
002-63-1523, ,S,1,0,15,15,0,0,15,0,0
002-63-1732, ,S,1,0,9.99,9.99,0,0,9.99,0,0
002-63-1732, ,S,1,0,4.99,4.99,0,0,4.99,0,0
002-63-2460, ,S,1,0,3.69,3.69,0,0,3.69,0,0
002-63-2460, ,S,9,0,32.31,32.31,0,0,3.59,0,0
002-63-2460, ,S,5,0,8.95,8.95,0,0,1.79,0,0
002-63-2460, ,S,2,0,3.58,3.58,0,0,1.79,0,0
002-63-2460, ,S,1,0,1.79,1.79,0,0,1.79,0,0
002-63-2460, ,S,1,0,3.59,3.59,0,0,3.59,0,0
002-63-2565, ,S,1,0,2,2,0,0,2,0,0
002-63-2627, ,S,1,0,41.99,41.99,0,0,41.99,0,0
002-63-3011, ,S,1,0,5.29,5.29,0,0,5.29,0,0
002-63-3011, ,S,1,0,5.49,5.49,0,0,5.49,0,0
002-63-3025, ,S,1,0,19.99,19.99,0,0,19.99,0,0
002-63-3450, ,S,1,0,10,6,4,4,10,0.4,0
002-63-3648, ,S,1,0,6.99,6.99,0,0,6.99,0,0
002-63-3648, ,S,1,0,6.99,6.99,0,0,6.99,0,0
002-63-4052, ,S,1,0,7,5.6,1.4,1.4,7,0.2,0
002-63-4374, ,S,1,0,7.49,7.49,0,0,7.49,0,0
002-63-4374, ,S,1,0,14.99,8.99,6,6,14.99,0.400266845,0
002-63-4384,,SCANNED,1,0,6.99,6.99,0,0,6.99,0,0
002-63-5312, ,S,1,0,5,3,2,2,5,0.4,0
002-63-5378, ,S,1,0,10,10,0,0,10,0,0
002-63-5581, ,S,1,0,24.99,24.99,0,0,24.99,0,0
002-63-5690, ,S,1,0,9.99,9.99,0,0,9.99,0,0
002-63-6293,,SCANNED,2,0,2.68,2.68,0,0,1.34,0,0
002-63-6293,,SCANNED,2,0,2.68,2.68,0,0,1.34,0,0
002-63-6545,,SCANNED,2,0,2.68,2.68,0,0,1.34,0,0
002-63-6545,,SCANNED,2,0,2.68,2.68,0,0,1.34,0,0
002-63-6545,,SCANNED,1,0,4.49,4.49,0,0,4.49,0,0
002-63-6545, ,S,1,0,3.99,3.99,0,0,3.99,0,0
002-63-6561, ,S,1,0,17.5,17.5,0,0,17.5,0,0
002-63-6706, ,S,1,0,15.69,15.69,0,0,15.69,0,0
002-64-2533, ,S,2,0,3,3,0,0,1.5,0,0
002-64-2877,,SCANNED,1,0,4.49,3.69,0.8,0.8,4.49,0.178173719,0
002-64-4585, ,S,2,0,3,3,0,0,1.5,0,0
002-64-4889, ,S,1,0,3,3,0,0,3,0,0
002-64-5460, ,S,1,0,4,4,0,0,4,0,0
002-64-7063,,SCANNED,1,0,12,12,0,0,12,0,0
002-70-1604, ,S,1,0,0,50,-50,-50,0,0,0
002-70-2028,,SCANNED,1,0,165,129,36,36,165,0.218181818,0
002-70-2855,,KEYED,1,0.1,312.5,281.25,31.25,31.25,312.5,0.1,-31.25
002-70-2855,,,1,0.11,0,-25.31,25.31,25.31,0,0,-28.12
003-07-0634, ,S,1,0,15,15,0,0,15,0,0
003-07-1230, ,S,1,0,8.99,8.99,0,0,8.99,0,0
003-07-1268, ,S,3,0,15,15,0,0,5,0,0
003-07-1434, ,S,3,0,24,24,0,0,8,0,0
003-07-1434, ,S,1,0,8,8,0,0,8,0,0
003-07-1434, ,S,2,0,16,16,0,0,8,0,0
003-07-2640, ,S,1,0,15,15,0,0,15,0,0
003-07-2640, ,S,1,0,15,15,0,0,15,0,0
003-07-4312, ,S,1,0,18,18,0,0,18,0,0
003-07-5138, ,S,2,0,30,30,0,0,15,0,0
003-07-5435, ,S,2,0,10,10,0,0,5,0,0
003-07-5435, ,S,1,0,5,5,0,0,5,0,0
003-07-6114, ,S,1,0,18,18,0,0,18,0,0
003-07-6724, ,S,1,0,4,4,0,0,4,0,0
003-36-6116, ,S,2,0,56,56,0,0,28,0,0
003-45-0832, ,S,4,0.15,88,84.7,3.3,3.3,22,0.0375,0
003-45-1549, ,S,4,0,51.96,51.96,0,0,12.99,0,0
003-45-2023, ,S,2,0,20,20,0,0,10,0,0
003-45-2023, ,S,1,0,10,10,0,0,10,0,0
003-45-2028, ,S,1,0,29.99,29.99,0,0,29.99,0,0
003-45-4062, ,S,3,0,30,30,0,0,10,0,0
003-45-5008, ,S,4,0,79.96,79.96,0,0,19.99,0,0
003-45-5037, ,S,1,0,20,20,0,0,20,0,0
003-45-5537, ,S,1,0,29.99,29.99,0,0,29.99,0,0
003-45-5658, ,S,1,0,10,10,0,0,10,0,0
003-45-5658, ,S,2,0,20,20,0,0,10,0,0
003-45-5775, ,S,2,0,43.98,43.98,0,0,21.99,0,0
003-45-6170, ,S,2,0,49.98,49.98,0,0,24.99,0,0
003-45-6212, , ,1,0,24.99,24.99,0,0,24.99,0,0
003-45-6212, ,S,1,0,24.99,24.99,0,0,24.99,0,0
003-45-6212, ,S,3,0,74.97,74.97,0,0,24.99,0,0
003-45-6307, ,S,2,0,56,56,0,0,28,0,0
003-45-6461, ,S,2,0,20,20,0,0,10,0,0
003-45-6711, ,S,2,0,49.98,49.98,0,0,24.99,0,0
003-45-6734, ,S,2,0,20,20,0,0,10,0,0
003-45-6735, ,S,4,0,99.96,99.96,0,0,24.99,0,0
003-45-6760, ,S,2,0,56,56,0,0,28,0,0
005-03-6018, ,S,1,0,35,35,0,0,35,0,0
005-03-6376, ,S,1,0,17,17,0,0,17,0,0
005-03-7586, ,S,1,0,17,12.75,4.25,4.25,17,0.25,0
005-11-0525, ,S,1,0,12.99,12.99,0,0,12.99,0,0
005-11-0589, ,S,1,0,10,10,0,0,10,0,0
005-11-0589, ,S,1,0,10,10,0,0,10,0,0
005-11-1546, ,S,1,0,10,10,0,0,10,0,0
005-11-2850, ,S,1,0,5,5,0,0,5,0,0
005-11-2850, ,S,1,0,4,4,0,0,4,0,0
005-11-3364, ,S,1,0,15.99,15.99,0,0,15.99,0,0
005-11-7198, ,S,1,0,30,30,0,0,30,0,0
005-20-0196, ,S,1,0,20,20,0,0,20,0,0
005-20-0196, ,S,1,0,20,20,0,0,20,0,0
005-20-0196, ,S,1,0,20,20,0,0,20,0,0
005-20-0513, ,S,1,0,6,6,0,0,6,0,0
005-20-0646,,SCANNED,1,0,10,10,0,0,10,0,0
005-20-0671, ,S,1,0,16,16,0,0,16,0,0
005-20-0714, ,S,2,0,14,14,0,0,7,0,0
005-20-1115, ,K,2,0,90,72,18,18,45,0.2,0
005-20-1115, ,K,1,0,45,36,9,9,45,0.2,0
005-20-1115, ,K,3,0.72,135,81.57,53.43,53.43,45,0.395777778,0
005-20-1115, ,S,1,0,45,36,9,9,45,0.2,0
005-20-1115, ,S,2,0,90,72,18,18,45,0.2,0
005-20-1531, ,S,1,0,6,6,0,0,6,0,0
005-20-1566, ,S,1,0,4,4,0,0,4,0,0
005-20-2713, ,S,1,0,13,13,0,0,13,0,0
005-20-3022, ,S,1,0,9.9,9.9,0,0,9.9,0,0
005-20-3179,,SCANNED,1,0,20,20,0,0,20,0,0
005-20-3491, ,S,1,0,13,13,0,0,13,0,0
005-20-3590, ,S,1,0,20,20,0,0,20,0,0
005-20-3673, ,S,1,0,7.5,7.5,0,0,7.5,0,0
005-20-3673, ,S,1,0,7.5,7.5,0,0,7.5,0,0
005-20-4020, ,K,1,0,5,5,0,0,5,0,0
005-20-4359, ,S,1,0,5.6,5.6,0,0,5.6,0,0
005-20-5213, ,S,1,0,12,12,0,0,12,0,0
005-20-5869, ,S,1,0,4,4,0,0,4,0,0
005-20-6040, ,S,1,0,20,20,0,0,20,0,0
005-20-6040, ,S,1,0,20,20,0,0,20,0,0
005-20-6169, ,S,1,0,130,130,0,0,130,0,0
005-20-6254, ,S,1,0,20,20,0,0,20,0,0
005-20-6341, ,S,1,0,10,10,0,0,10,0,0
005-20-6593, ,S,1,0,3,3,0,0,3,0,0
005-20-6593, ,S,1,0,3,3,0,0,3,0,0
005-20-6859, ,S,1,0,7,7,0,0,7,0,0
005-20-6995, ,S,1,0,18,18,0,0,18,0,0
005-20-7404, ,S,1,0,8,8,0,0,8,0,0
005-34-2180, ,S,1,0,9,9,0,0,9,0,0
005-34-3331, ,S,1,0,30,30,0,0,30,0,0
005-34-3458, ,S,1,0,15,15,0,0,15,0,0
005-34-3458, ,S,1,0,16,16,0,0,16,0,0
005-34-3564, ,S,1,0,60,60,0,0,60,0,0
005-56-1144, ,S,1,0,10,10,0,0,10,0,0
005-64-1337, ,S,1,0,10,10,0,0,10,0,0
005-64-1413, ,S,1,0,9,9,0,0,9,0,0
005-64-2666, ,S,1,0,15,15,0,0,15,0,0
005-64-3922, ,S,1,0,15,15,0,0,15,0,0
005-64-5035, ,S,1,0,10,10,0,0,10,0,0
005-71-0324, ,S,1,0,15,15,0,0,15,0,0
005-71-0486, ,S,1,0,17,17,0,0,17,0,0
005-71-1228, ,S,2,0,16.8,16.8,0,0,8.4,0,0
005-71-1228, ,S,1,0,12,12,0,0,12,0,0
005-71-1267, ,S,1,0,17,12.75,4.25,4.25,17,0.25,0
005-71-1267, ,S,1,0,15,15,0,0,15,0,0
005-71-1852, ,S,1,0,20.49,20.49,0,0,20.49,0,0
005-71-2333,,SCANNED,1,0,5.1,5.1,0,0,5.1,0,0
005-71-2333, ,S,1,0,17,17,0,0,17,0,0
005-71-2914, ,S,1,0,17,17,0,0,17,0,0
005-71-3212, ,S,1,0,16,16,0,0,16,0,0
005-71-3714, ,S,1,0,9,9,0,0,9,0,0
005-71-4307, ,S,1,0,8,8,0,0,8,0,0
005-71-4656, ,S,1,0,40,40,0,0,40,0,0
005-71-4736, ,S,1,0,10,10,0,0,10,0,0
005-71-5015, ,S,2,0,7.2,7.2,0,0,3.6,0,0
005-71-5029, ,S,1,0,10,10,0,0,10,0,0
005-71-5029, ,S,1,0,10,10,0,0,10,0,0
005-71-5189, ,S,1,0,5,5,0,0,5,0,0
005-71-5189, ,S,2,0,10,10,0,0,5,0,0
005-71-5990,,SCANNED,4,0,34,34,0,0,8.5,0,0
005-71-5990, ,S,1,0,17,17,0,0,17,0,0
005-71-6354, ,S,1,0,15,15,0,0,15,0,0
005-71-6644, ,S,1,0,25,25,0,0,25,0,0
005-71-6825, ,S,1,0,3,3,0,0,0.5,0,0
005-71-6825, ,S,2,0,20,15,5,5,10,0.25,0
005-71-7169, ,S,1,0,15,15,0,0,15,0,0
005-71-7398, ,S,1,0,30,30,0,0,30,0,0
005-71-7491, ,S,1,0,8,8,0,0,8,0,0
005-71-7510, ,S,1,0,10,10,0,0,10,0,0
005-71-7565, ,S,1,0,9.99,9.99,0,0,9.99,0,0
005-71-7585, ,S,1,0,8,8,0,0,8,0,0
006-56-1334, ,S,1,0,5.6,7,-1.4,-1.4,5.6,-0.25,0
009-11-3575, ,S,1,0,2.7,2.7,0,0,2.7,0,0
009-11-6943, ,S,1,0,6.3,6.3,0,0,6.3,0,0
009-19-0012, ,S,1,0,24.99,24.99,0,0,24.99,0,0
009-19-0012, ,S,1,0,24.99,24.99,0,0,24.99,0,0
009-19-2492,,SCANNED,1,0,25.99,25.99,0,0,25.99,0,0
009-19-3384, ,S,1,0,38,38,0,0,38,0,0
009-19-3384, ,S,1,0,38,38,0,0,38,0,0
009-19-5276, ,S,1,0.2,25.99,25.99,0,0,25.99,0,0
009-19-5276, ,S,1,0,25.99,25.99,0,0,25.99,0,0
009-19-7245, ,S,1,0,38,38,0,0,38,0,0
009-36-5549, ,S,1,0,17.99,17.99,0,0,17.99,0,0
009-51-0023, ,S,1,0,5,5,0,0,5,0,0
009-51-0038,,SCANNED,1,0,5,5,0,0,5,0,0
009-51-0038, ,S,1,0,5,5,0,0,5,0,0
009-51-0045, ,S,1,0,5,5,0,0,5,0,0
009-51-0045, ,S,1,0,5,5,0,0,5,0,0
009-51-0056, ,S,1,0,5,5,0,0,5,0,0
009-51-0068, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-0140, ,S,1,0,5,5,0,0,5,0,0
009-51-0140, ,S,1,0,5,5,0,0,5,0,0
009-51-0140, ,S,1,0,5,5,0,0,5,0,0
009-51-0171, ,S,2,0,3.6,3.6,0,0,1.8,0,0
009-51-0171, ,S,1,0,6,6,0,0,6,0,0
009-51-0171, ,S,1,0,6,6,0,0,6,0,0
009-51-0173,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-0261, ,S,1,0,6,6,0,0,6,0,0
009-51-0426, ,S,1,0,5,5,0,0,5,0,0
009-51-0460, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-0478, ,S,1,0,5,5,0,0,5,0,0
009-51-0522, ,S,1,0,2.5,2.5,0,0,2.5,0,0
009-51-0536, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-0550, ,S,1,0,6,6,0,0,6,0,0
009-51-0575, ,S,1,0,7,7,0,0,7,0,0
009-51-0710, ,S,1,0,5,5,0,0,5,0,0
009-51-0710, ,S,1,0,5,5,0,0,5,0,0
009-51-0746, ,S,1,0,5,5,0,0,5,0,0
009-51-0765, ,S,1,0,5,5,0,0,5,0,0
009-51-0840, ,S,1,0,5,5,0,0,5,0,0
009-51-0844, ,S,1,0,6,6,0,0,6,0,0
009-51-0907, ,S,1,0,6,6,0,0,6,0,0
009-51-0984, ,S,1,0,6,6,0,0,6,0,0
009-51-0992, ,S,1,0,5,5,0,0,5,0,0
009-51-0992, ,S,1,0,5,5,0,0,5,0,0
009-51-1030, ,S,1,0,6,6,0,0,6,0,0
009-51-1041, ,S,1,0,5,5,0,0,5,0,0
009-51-1080, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-1101, ,S,1,0,6,6,0,0,6,0,0
009-51-1132, ,S,1,0,5,5,0,0,5,0,0
009-51-1189, ,S,1,0,5,5,0,0,5,0,0
009-51-1226, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-1287,,SCANNED,1,0,5,5,0,0,5,0,0
009-51-1328,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-1539, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-1629, ,S,1,0,5,5,0,0,5,0,0
009-51-1647, ,S,1,0,5,5,0,0,5,0,0
009-51-1658, ,S,1,0,7,7,0,0,7,0,0
009-51-1731, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-1778, ,S,1,0,6,6,0,0,6,0,0
009-51-1865, ,S,1,0,4.2,4.2,0,0,4.2,0,0
009-51-1903, ,S,1,0,6,6,0,0,6,0,0
009-51-1915, ,S,1,0,6,6,0,0,6,0,0
009-51-2205, ,S,1,0,5,5,0,0,5,0,0
009-51-2205, ,S,1,0,5,5,0,0,5,0,0
009-51-2248, ,S,1,0,5,5,0,0,5,0,0
009-51-2311, ,S,1,0,5,5,0,0,5,0,0
009-51-2330, ,S,1,0,5,5,0,0,5,0,0
009-51-2348, ,S,1,0,5,5,0,0,5,0,0
009-51-2348, ,S,1,0,5,5,0,0,5,0,0
009-51-2378, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-2433, ,S,1,0,5,5,0,0,5,0,0
009-51-2485, ,S,1,0,3.5,3.5,0,0,3.5,0,0
009-51-2513, ,S,1,0,5,5,0,0,5,0,0
009-51-2539, ,S,1,0,5,5,0,0,5,0,0
009-51-2539, ,S,1,0,5,5,0,0,5,0,0
009-51-2602, ,S,1,0,2.5,2.5,0,0,2.5,0,0
009-51-2626,,SCANNED,1,0,5,5,0,0,5,0,0
009-51-2629, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-2716, ,S,1,0,5,5,0,0,5,0,0
009-51-2746, ,S,1,0,6,6,0,0,6,0,0
009-51-2799, ,S,1,0,5,5,0,0,5,0,0
009-51-2854,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-2854, ,S,1,0,6,6,0,0,6,0,0
009-51-2854, ,S,1,0,6,6,0,0,6,0,0
009-51-2964,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-3039, ,S,1,0,5,5,0,0,5,0,0
009-51-3041, ,S,1,0,6,6,0,0,6,0,0
009-51-3180, ,S,1,0,6,6,0,0,6,0,0
009-51-3287,,SCANNED,1,0,7,7,0,0,7,0,0
009-51-3292, ,S,1,0,6,6,0,0,6,0,0
009-51-3314, ,S,1,0,5,5,0,0,5,0,0
009-51-3338, ,S,1,0,5,5,0,0,5,0,0
009-51-3381,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-3402, ,S,1,0,5,5,0,0,5,0,0
009-51-3405, ,S,1,0,5,5,0,0,5,0,0
009-51-3482, ,S,1,0,5,5,0,0,5,0,0
009-51-3511, ,S,1,0,5,5,0,0,5,0,0
009-51-3549, ,S,1,0,6,6,0,0,6,0,0
009-51-3553, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-3578, ,S,1,0,6,6,0,0,6,0,0
009-51-3720,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-3730, ,S,1,0,5,5,0,0,5,0,0
009-51-3744, ,S,1,0,5,5,0,0,5,0,0
009-51-3851, ,S,1,0,5,5,0,0,5,0,0
009-51-3909, ,S,1,0,6,6,0,0,6,0,0
009-51-3909, ,S,1,0,6,6,0,0,6,0,0
009-51-3943, ,S,1,0,6,6,0,0,6,0,0
009-51-3975, ,S,1,0,5,5,0,0,5,0,0
009-51-4005, ,S,1,0,6,6,0,0,6,0,0
009-51-4006, ,S,1,0,3,3,0,0,3,0,0
009-51-4006, ,S,1,0,6,6,0,0,6,0,0
009-51-4045, ,S,1,0,5,5,0,0,5,0,0
009-51-4083, ,S,1,0,6,6,0,0,6,0,0
009-51-4111, ,S,2,0,10,10,0,0,5,0,0
009-51-4128, ,S,1,0,5,5,0,0,5,0,0
009-51-4140, ,S,1,0,5,5,0,0,5,0,0
009-51-4141, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-4251, ,S,1,0,5,5,0,0,5,0,0
009-51-4290, ,S,1,0,5,5,0,0,5,0,0
009-51-4437, ,S,1,0,2.5,2.5,0,0,2.5,0,0
009-51-4453, ,S,1,0,5,5,0,0,5,0,0
009-51-4489, ,S,1,0,3,3,0,0,3,0,0
009-51-4490, ,S,1,0,5,5,0,0,5,0,0
009-51-4517,,SCANNED,1,0,6,6,0,0,6,0,0
009-51-4694, ,S,1,0,6,6,0,0,6,0,0
009-51-4779, ,S,1,0,6,6,0,0,6,0,0
009-51-4795, ,S,1,0,5,5,0,0,5,0,0
009-51-4804, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-4821, ,S,1,0,6,6,0,0,6,0,0
009-51-4920, ,S,1,0,6,6,0,0,6,0,0
009-51-4930, ,S,1,0,6,6,0,0,6,0,0
009-51-4973, ,S,1,0,5,5,0,0,5,0,0
009-51-5013, ,S,1,0,5,5,0,0,5,0,0
009-51-5026, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5125, ,S,1,0,5,5,0,0,5,0,0
009-51-5133, ,S,1,0,5,5,0,0,5,0,0
009-51-5138, ,S,1,0,5,5,0,0,5,0,0
009-51-5138, ,S,1,0,5,5,0,0,5,0,0
009-51-5148, ,S,1,0,5,5,0,0,5,0,0
009-51-5169, ,S,1,0,6,6,0,0,6,0,0
009-51-5185, ,S,1,0,5,5,0,0,5,0,0
009-51-5302, ,S,1,0,5,5,0,0,5,0,0
009-51-5314, ,S,1,0,5,5,0,0,5,0,0
009-51-5325, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5328, ,S,1,0,5,5,0,0,5,0,0
009-51-5377, ,S,1,0,5,5,0,0,5,0,0
009-51-5400, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5420, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5420, ,S,1,0,6,6,0,0,6,0,0
009-51-5427, ,S,1,0,5,5,0,0,5,0,0
009-51-5432, ,S,1,0,5,5,0,0,5,0,0
009-51-5436, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5476, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-5476, ,S,2,0,10,10,0,0,5,0,0
009-51-5548, ,S,1,0,1.5,1.5,0,0,1.5,0,0
009-51-5574, ,S,1,0,5,5,0,0,5,0,0
009-51-5634, ,S,1,0,6,6,0,0,6,0,0
009-51-5652, ,S,1,0,6,6,0,0,6,0,0
009-51-5659, ,S,1,0,6,6,0,0,6,0,0
009-51-5696, ,S,1,0,6,6,0,0,6,0,0
009-51-5710, ,S,1,0,5,5,0,0,5,0,0
009-51-5710, ,S,1,0,5,5,0,0,5,0,0
009-51-5710, ,S,1,0,5,5,0,0,5,0,0
009-51-5743, ,S,1,0,6,6,0,0,6,0,0
009-51-5743, ,S,1,0,6,6,0,0,6,0,0
009-51-5765, ,S,1,0,2.5,2.5,0,0,2.5,0,0
009-51-5772, ,S,1,0,6,6,0,0,6,0,0
009-51-5781, ,S,1,0,6,6,0,0,6,0,0
009-51-5796, ,S,1,0,6,6,0,0,6,0,0
009-51-5887,,SCANNED,1,0,5,5,0,0,5,0,0
009-51-5905, ,S,1,0,1.8,1.8,0,0,1.8,0,0
009-51-5916, ,S,1,0,5,5,0,0,5,0,0
009-51-5933, ,S,2,0,7,7,0,0,3.5,0,0
009-51-5933, ,S,1,0,5,5,0,0,5,0,0
009-51-5934,,SCANNED,1,0,5,5,0,0,5,0,0
009-51-5958, ,S,1,0,5,5,0,0,5,0,0
009-51-5986, ,S,1,0,5,5,0,0,5,0,0
009-51-5995, ,S,1,0,5,5,0,0,5,0,0
009-51-6012, ,S,1,0,5,5,0,0,5,0,0
