Store_Number,Store_Type,Store_Format,State,Region,Group,District,Market
Store_8323,StoreType_5,StoreFormat_02,State_26,Region_1,Group_05,District_155,Market_065
Store_8705,StoreType_5,StoreFormat_16,State_24,Region_4,Group_12,District_074,Market_340
Store_8884,StoreType_5,StoreFormat_06,State_08,Region_3,Group_07,District_055,Market_362
Store_4054,StoreType_5,StoreFormat_31,State_32,Region_3,Group_02,District_053,Market_309
Store_4713,StoreType_5,StoreFormat_27,State_26,Region_1,Group_26,District_015,Market_065
Store_1997,StoreType_5,StoreFormat_16,State_26,Region_1,Group_26,District_075,Market_053
Store_9935,StoreType_5,StoreFormat_11,State_26,Region_1,Group_27,District_042,Market_065
Store_7312,StoreType_5,StoreFormat_10,State_26,Region_1,Group_27,District_042,Market_065
Store_5837,StoreType_5,StoreFormat_06,State_24,Region_4,Group_12,District_184,Market_340
Store_6304,StoreType_5,StoreFormat_02,State_35,Region_3,Group_06,District_071,Market_012
Store_2206,StoreType_5,StoreFormat_27,State_40,Region_4,Group_20,District_168,Market_178
Store_5244,StoreType_5,StoreFormat_01,State_40,Region_4,Group_20,District_132,Market_094
Store_7394,StoreType_5,StoreFormat_04,State_23,Region_3,Group_08,District_024,Market_048
Store_0869,StoreType_5,StoreFormat_46,State_26,Region_1,Group_26,District_015,Market_065
Store_6614,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_128,Market_371
Store_7112,StoreType_5,StoreFormat_37,State_26,Region_1,Group_27,District_126,Market_065
Store_9728,StoreType_5,StoreFormat_02,State_01,Region_3,Group_15,District_032,Market_152
Store_0920,StoreType_5,StoreFormat_19,State_20,Region_4,Group_12,District_082,Market_083
Store_9639,StoreType_5,StoreFormat_46,State_20,Region_4,Group_12,District_050,Market_083
Store_9462,StoreType_5,StoreFormat_37,State_26,Region_1,Group_28,District_022,Market_002
Store_0017,StoreType_5,StoreFormat_31,State_23,Region_3,Group_08,District_026,Market_048
Store_6678,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_118,Market_280
Store_9614,StoreType_5,StoreFormat_02,State_26,Region_1,Group_27,District_093,Market_092
Store_2718,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_116,Market_208
Store_9638,StoreType_5,StoreFormat_27,State_50,Region_3,Group_18,District_159,Market_054
Store_0339,StoreType_5,StoreFormat_31,State_50,Region_3,Group_18,District_062,Market_054
Store_8681,StoreType_5,StoreFormat_16,State_50,Region_3,Group_18,District_182,Market_054
Store_7772,StoreType_5,StoreFormat_46,State_50,Region_3,Group_18,District_182,Market_054
Store_2842,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_043,Market_054
Store_2482,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_155,Market_065
Store_8073,StoreType_5,StoreFormat_01,State_26,Region_1,Group_26,District_075,Market_065
Store_1088,StoreType_5,StoreFormat_16,State_26,Region_1,Group_27,District_077,Market_065
Store_8142,StoreType_5,StoreFormat_27,State_26,Region_1,Group_27,District_030,Market_065
Store_3354,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_156,Market_371
Store_3305,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_127,Market_065
Store_0582,StoreType_5,StoreFormat_04,State_26,Region_1,Group_26,District_124,Market_065
Store_7633,StoreType_5,StoreFormat_37,State_26,Region_1,Group_27,District_093,Market_092
Store_7024,StoreType_5,StoreFormat_11,State_26,Region_1,Group_26,District_079,Market_053
Store_4757,StoreType_5,StoreFormat_16,State_26,Region_1,Group_26,District_075,Market_065
Store_7256,StoreType_5,StoreFormat_27,State_26,Region_1,Group_27,District_126,Market_065
Store_6342,StoreType_5,StoreFormat_02,State_26,Region_1,Group_05,District_128,Market_371
Store_3903,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_154,Market_065
Store_9955,StoreType_5,StoreFormat_02,State_26,Region_1,Group_27,District_093,Market_092
Store_1221,StoreType_5,StoreFormat_27,State_26,Region_1,Group_27,District_025,Market_092
Store_3314,StoreType_5,StoreFormat_01,State_26,Region_1,Group_27,District_093,Market_092
Store_3697,StoreType_5,StoreFormat_46,State_26,Region_1,Group_05,District_069,Market_371
Store_3302,StoreType_5,StoreFormat_27,State_26,Region_1,Group_26,District_079,Market_264
Store_9441,StoreType_5,StoreFormat_06,State_26,Region_1,Group_28,District_165,Market_002
Store_4322,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_022,Market_002
Store_7973,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_022,Market_002
Store_6634,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_165,Market_129
Store_1657,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_116,Market_208
Store_3884,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_160,Market_165
Store_7808,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_160,Market_192
Store_7417,StoreType_5,StoreFormat_16,State_24,Region_4,Group_12,District_184,Market_340
Store_2269,StoreType_5,StoreFormat_01,State_26,Region_1,Group_01,District_100,Market_393
Store_0444,StoreType_5,StoreFormat_10,State_26,Region_1,Group_01,District_100,Market_393
Store_1999,StoreType_5,StoreFormat_06,State_26,Region_1,Group_01,District_100,Market_197
Store_9501,StoreType_5,StoreFormat_27,State_26,Region_1,Group_01,District_048,Market_197
Store_6808,StoreType_5,StoreFormat_27,State_26,Region_1,Group_01,District_048,Market_197
Store_8558,StoreType_5,StoreFormat_11,State_26,Region_1,Group_01,District_080,Market_393
Store_6348,StoreType_5,StoreFormat_10,State_26,Region_1,Group_28,District_148,Market_393
Store_1563,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_148,Market_043
Store_1441,StoreType_5,StoreFormat_06,State_26,Region_1,Group_28,District_148,Market_393
Store_7677,StoreType_5,StoreFormat_16,State_40,Region_4,Group_03,District_130,Market_145
Store_8455,StoreType_5,StoreFormat_06,State_26,Region_1,Group_27,District_042,Market_065
Store_0478,StoreType_5,StoreFormat_27,State_38,Region_1,Group_11,District_029,Market_112
Store_0569,StoreType_5,StoreFormat_02,State_38,Region_1,Group_11,District_029,Market_112
Store_5210,StoreType_5,StoreFormat_02,State_38,Region_1,Group_11,District_068,Market_112
Store_2017,StoreType_5,StoreFormat_31,State_38,Region_1,Group_11,District_113,Market_112
Store_9058,StoreType_5,StoreFormat_27,State_38,Region_1,Group_11,District_113,Market_112
Store_7686,StoreType_5,StoreFormat_01,State_38,Region_1,Group_11,District_094,Market_095
Store_9270,StoreType_5,StoreFormat_11,State_30,Region_1,Group_11,District_104,Market_095
Store_3826,StoreType_5,StoreFormat_02,State_30,Region_1,Group_11,District_104,Market_095
Store_4953,StoreType_5,StoreFormat_31,State_30,Region_1,Group_11,District_006,Market_095
Store_0005,StoreType_5,StoreFormat_16,State_50,Region_3,Group_18,District_043,Market_310
Store_4146,StoreType_5,StoreFormat_27,State_38,Region_1,Group_11,District_029,Market_356
Store_9357,StoreType_5,StoreFormat_16,State_38,Region_1,Group_11,District_094,Market_112
Store_7469,StoreType_5,StoreFormat_27,State_50,Region_3,Group_18,District_043,Market_081
Store_7170,StoreType_5,StoreFormat_46,State_50,Region_3,Group_18,District_159,Market_054
Store_6460,StoreType_5,StoreFormat_46,State_50,Region_3,Group_18,District_062,Market_054
Store_4576,StoreType_5,StoreFormat_46,State_50,Region_3,Group_18,District_182,Market_054
Store_2302,StoreType_5,StoreFormat_06,State_45,Region_3,Group_02,District_172,Market_322
Store_1067,StoreType_5,StoreFormat_27,State_41,Region_4,Group_12,District_045,Market_347
Store_2669,StoreType_5,StoreFormat_46,State_41,Region_4,Group_12,District_045,Market_347
Store_9548,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_116,Market_208
Store_4007,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_069,Market_371
Store_0640,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_137,Market_152
Store_0351,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_062,Market_218
Store_4567,StoreType_5,StoreFormat_16,State_30,Region_1,Group_11,District_104,Market_095
Store_0714,StoreType_5,StoreFormat_02,State_24,Region_4,Group_12,District_074,Market_340
Store_0224,StoreType_5,StoreFormat_16,State_08,Region_3,Group_07,District_061,Market_030
Store_7319,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_062,Market_218
Store_6042,StoreType_5,StoreFormat_16,State_19,Region_3,Group_02,District_010,Market_156
Store_9810,StoreType_5,StoreFormat_46,State_42,Region_4,Group_16,District_161,Market_140
Store_5072,StoreType_5,StoreFormat_31,State_50,Region_3,Group_18,District_083,Market_051
Store_0163,,StoreFormat_29,State_01,,,,Market_152
Store_2656,StoreType_2,StoreFormat_08,State_12,Region_3,Group_06,District_067,Market_183
Store_6919,StoreType_5,StoreFormat_11,State_45,Region_3,Group_02,District_172,Market_308
Store_6377,StoreType_2,StoreFormat_32,State_12,Region_3,Group_06,District_067,Market_183
Store_1073,StoreType_2,StoreFormat_24,State_46,Region_3,Group_07,District_115,Market_047
Store_2391,,StoreFormat_29,State_01,,,,Market_152
Store_1459,,StoreFormat_29,State_26,,,,Market_371
Store_7698,,StoreFormat_29,State_23,,,,Market_400
Store_7670,,StoreFormat_29,State_26,,,,Market_002
Store_9131,,StoreFormat_29,State_42,,,,Market_270
Store_1358,,StoreFormat_29,State_08,,,,Market_276
Store_0158,,StoreFormat_29,State_30,,,,Market_078
Store_2928,,StoreFormat_29,State_37,,,,Market_057
Store_3546,,StoreFormat_29,State_33,,,,Market_239
Store_2739,,StoreFormat_29,State_37,,,,Market_057
Store_0171,,StoreFormat_29,State_40,,,,Market_211
Store_8815,,StoreFormat_29,State_21,,,,Market_018
Store_4728,,StoreFormat_29,State_44,,,,Market_339
Store_5622,,StoreFormat_29,State_26,,,,Market_065
Store_0357,,StoreFormat_29,State_22,,,,Market_256
Store_6715,,StoreFormat_29,State_40,,,,Market_008
Store_4875,,StoreFormat_29,State_33,,,,Market_003
Store_4899,,StoreFormat_29,State_01,,,,Market_152
Store_7471,,StoreFormat_29,State_50,,,,Market_331
Store_3273,,StoreFormat_29,State_24,,,,Market_340
Store_0715,,StoreFormat_29,State_17,,,,Market_045
Store_3843,,StoreFormat_29,State_46,,,,Market_235
Store_6845,,StoreFormat_29,State_26,,,,Market_153
Store_2081,,StoreFormat_29,State_06,,,,Market_143
Store_0589,,StoreFormat_29,State_38,,,,Market_117
Store_8594,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_083,Market_331
Store_3647,StoreType_5,StoreFormat_06,State_38,Region_1,Group_11,District_113,Market_408
Store_0079,StoreType_5,StoreFormat_27,State_38,Region_1,Group_11,District_094,Market_117
Store_3982,StoreType_5,StoreFormat_06,State_30,Region_1,Group_11,District_006,Market_131
Store_2851,StoreType_5,StoreFormat_46,State_30,Region_1,Group_11,District_006,Market_078
Store_6794,StoreType_5,StoreFormat_19,State_50,Region_3,Group_18,District_083,Market_029
Store_7592,StoreType_5,StoreFormat_46,State_50,Region_3,Group_18,District_062,Market_054
Store_0484,StoreType_5,StoreFormat_16,State_30,Region_1,Group_11,District_006,Market_369
Store_3067,StoreType_5,StoreFormat_16,State_30,Region_1,Group_11,District_006,Market_224
Store_7635,StoreType_5,StoreFormat_27,State_26,Region_1,Group_28,District_178,Market_153
Store_5777,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_160,Market_082
Store_7713,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_062,Market_218
Store_2700,StoreType_5,StoreFormat_10,State_18,Region_3,Group_06,District_110,Market_298
Store_6464,StoreType_5,StoreFormat_16,State_23,Region_3,Group_08,District_026,Market_400
Store_8710,StoreType_2,StoreFormat_12,State_01,Region_3,Group_15,District_176,Market_152
Store_1610,StoreType_5,StoreFormat_16,State_08,Region_3,Group_07,District_125,Market_019
Store_7922,StoreType_5,StoreFormat_34,State_47,Region_3,Group_18,District_182,Market_113
Store_0076,StoreType_5,StoreFormat_27,State_47,Region_3,Group_18,District_182,Market_113
Store_7403,StoreType_5,StoreFormat_16,State_47,Region_3,Group_18,District_182,Market_113
Store_4903,StoreType_5,StoreFormat_27,State_41,Region_4,Group_12,District_045,Market_347
Store_9138,StoreType_5,StoreFormat_11,State_26,Region_1,Group_01,District_080,Market_197
Store_9251,StoreType_5,StoreFormat_27,State_38,Region_1,Group_11,District_113,Market_112
Store_4775,StoreType_5,StoreFormat_11,State_38,Region_1,Group_11,District_094,Market_173
Store_6283,StoreType_5,StoreFormat_19,State_50,Region_3,Group_18,District_159,Market_054
Store_8191,StoreType_5,StoreFormat_31,State_50,Region_3,Group_18,District_182,Market_134
Store_5335,StoreType_5,StoreFormat_31,State_38,Region_3,Group_06,District_071,Market_067
Store_5352,StoreType_5,StoreFormat_11,State_38,Region_1,Group_11,District_068,Market_112
Store_0802,StoreType_5,StoreFormat_11,State_22,Region_4,Group_25,District_087,Market_256
Store_1166,StoreType_5,StoreFormat_06,State_24,Region_4,Group_12,District_174,Market_340
Store_4094,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_116,Market_125
Store_8505,StoreType_5,StoreFormat_16,State_22,Region_4,Group_25,District_111,Market_256
Store_7891,StoreType_2,StoreFormat_12,State_01,Region_3,Group_15,District_137,Market_152
Store_0627,StoreType_5,StoreFormat_31,State_22,Region_4,Group_04,District_028,Market_075
Store_3942,StoreType_5,StoreFormat_11,State_22,Region_4,Group_04,District_047,Market_006
Store_7086,StoreType_5,StoreFormat_16,State_22,Region_4,Group_04,District_076,Market_006
Store_0903,StoreType_5,StoreFormat_04,State_22,Region_4,Group_04,District_101,Market_006
Store_3540,StoreType_5,StoreFormat_16,State_22,Region_4,Group_04,District_121,Market_055
Store_8546,StoreType_5,StoreFormat_16,State_22,Region_4,Group_04,District_011,Market_055
Store_9355,StoreType_5,StoreFormat_27,State_22,Region_4,Group_04,District_121,Market_055
Store_3599,StoreType_5,StoreFormat_06,State_22,Region_4,Group_04,District_121,Market_055
Store_0165,StoreType_5,StoreFormat_04,State_01,Region_3,Group_06,District_108,Market_122
Store_3997,StoreType_5,StoreFormat_27,State_01,Region_3,Group_06,District_081,Market_294
Store_4550,StoreType_5,StoreFormat_16,State_01,Region_3,Group_06,District_108,Market_171
Store_5775,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_091,Market_371
Store_5083,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_033,Market_118
Store_1099,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_142,Market_152
Store_9723,StoreType_5,StoreFormat_27,State_01,Region_3,Group_07,District_125,Market_056
Store_5992,StoreType_2,StoreFormat_12,State_01,Region_3,Group_15,District_033,Market_152
Store_2444,StoreType_5,StoreFormat_27,State_22,Region_4,Group_04,District_011,Market_398
Store_7857,StoreType_5,StoreFormat_11,State_47,Region_3,Group_14,District_064,Market_004
Store_7913,StoreType_5,StoreFormat_27,State_22,Region_4,Group_04,District_028,Market_075
Store_3106,StoreType_5,StoreFormat_01,State_36,Region_3,Group_02,District_038,Market_317
Store_6275,StoreType_5,StoreFormat_11,State_50,Region_3,Group_18,District_083,Market_123
Store_1202,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_043,Market_124
Store_5173,StoreType_5,StoreFormat_06,State_50,Region_3,Group_18,District_182,Market_273
Store_2300,StoreType_5,StoreFormat_06,State_36,Region_3,Group_02,District_185,Market_225
Store_2723,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_148,Market_043
Store_2914,StoreType_5,StoreFormat_27,State_26,Region_1,Group_01,District_019,Market_285
Store_1290,StoreType_5,StoreFormat_06,State_26,Region_1,Group_05,District_156,Market_065
Store_3124,StoreType_5,StoreFormat_04,State_18,Region_3,Group_06,District_071,Market_386
Store_6043,StoreType_5,StoreFormat_11,State_20,Region_4,Group_12,District_050,Market_083
Store_2198,StoreType_5,StoreFormat_16,State_38,Region_1,Group_11,District_113,Market_112
Store_3877,StoreType_5,StoreFormat_16,State_48,Region_4,Group_22,District_146,Market_266
Store_3402,StoreType_5,StoreFormat_16,State_40,Region_4,Group_03,District_188,Market_203
Store_5412,StoreType_5,StoreFormat_16,State_26,Region_1,Group_26,District_015,Market_065
Store_9846,StoreType_5,StoreFormat_11,State_22,Region_4,Group_22,District_085,Market_033
Store_8586,StoreType_5,StoreFormat_02,State_22,Region_4,Group_04,District_076,Market_177
Store_7020,StoreType_5,StoreFormat_16,State_22,Region_4,Group_04,District_047,Market_149
Store_7967,StoreType_5,StoreFormat_11,State_22,Region_4,Group_25,District_149,Market_011
Store_4333,StoreType_5,StoreFormat_16,State_22,Region_4,Group_25,District_166,Market_375
Store_8083,StoreType_5,StoreFormat_16,State_26,Region_1,Group_01,District_054,Market_393
Store_0056,StoreType_3,StoreFormat_44,State_01,Region_3,Group_15,District_033,Market_152
Store_4430,StoreType_5,StoreFormat_27,State_01,Region_3,Group_15,District_142,Market_152
Store_4839,StoreType_5,StoreFormat_04,State_48,Region_4,Group_16,District_090,Market_404
Store_7085,StoreType_5,StoreFormat_46,State_38,Region_1,Group_11,District_029,Market_381
Store_7863,StoreType_5,StoreFormat_16,State_18,Region_3,Group_06,District_110,Market_141
Store_2232,StoreType_5,StoreFormat_06,State_24,Region_4,Group_12,District_020,Market_116
Store_1210,StoreType_5,StoreFormat_16,State_37,Region_3,Group_18,District_096,Market_318
Store_3350,StoreType_5,StoreFormat_46,State_36,Region_3,Group_17,District_135,Market_318
Store_2991,StoreType_5,StoreFormat_27,State_36,Region_3,Group_02,District_038,Market_159
Store_0032,StoreType_5,StoreFormat_06,State_42,Region_4,Group_04,District_049,Market_288
Store_5342,StoreType_5,StoreFormat_46,State_24,Region_4,Group_12,District_020,Market_007
Store_4507,StoreType_5,StoreFormat_16,State_26,Region_1,Group_05,District_156,Market_371
Store_4687,StoreType_5,StoreFormat_46,State_26,Region_1,Group_01,District_098,Market_393
Store_4992,StoreType_5,StoreFormat_16,State_26,Region_1,Group_28,District_118,Market_129
Store_3055,StoreType_5,StoreFormat_02,State_23,Region_3,Group_08,District_026,Market_413
Store_7756,StoreType_5,StoreFormat_11,State_22,Region_4,Group_04,District_049,Market_260
Store_2568,StoreType_5,StoreFormat_16,State_22,Region_4,Group_25,District_092,Market_256
Store_8872,StoreType_5,StoreFormat_02,State_42,Region_4,Group_16,District_151,Market_140
Store_3100,StoreType_5,StoreFormat_31,State_42,Region_4,Group_16,District_016,Market_140
Store_9348,StoreType_5,StoreFormat_06,State_42,Region_4,Group_04,District_049,Market_068
Store_5966,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_176,Market_152
Store_3244,StoreType_5,StoreFormat_11,State_32,Region_3,Group_02,District_053,Market_146
Store_9330,StoreType_5,StoreFormat_16,State_36,Region_3,Group_17,District_119,Market_318
Store_6687,StoreType_5,StoreFormat_46,State_51,Region_4,Group_22,District_163,Market_267
Store_3892,StoreType_5,StoreFormat_01,State_05,Region_4,Group_29,District_140,Market_166
Store_3447,StoreType_5,StoreFormat_10,State_48,Region_4,Group_16,District_105,Market_284
Store_4162,StoreType_5,StoreFormat_04,State_19,Region_3,Group_14,District_041,Market_070
Store_0317,StoreType_5,StoreFormat_06,State_40,Region_4,Group_20,District_023,Market_094
Store_0822,StoreType_5,StoreFormat_27,State_33,Region_2,Group_24,District_173,Market_069
Store_5532,StoreType_5,StoreFormat_06,State_38,Region_1,Group_11,District_068,Market_315
Store_0220,StoreType_5,StoreFormat_46,State_26,Region_1,Group_05,District_069,Market_371
Store_0066,StoreType_5,StoreFormat_46,State_05,Region_4,Group_29,District_014,Market_275
Store_3427,StoreType_5,StoreFormat_16,State_30,Region_1,Group_11,District_104,Market_405
Store_3492,StoreType_5,StoreFormat_11,State_26,Region_1,Group_05,District_128,Market_065
Store_8536,StoreType_5,StoreFormat_16,State_41,Region_4,Group_12,District_174,Market_093
Store_6603,StoreType_5,StoreFormat_06,State_40,Region_4,Group_20,District_023,Market_230
Store_8981,StoreType_5,StoreFormat_46,State_40,Region_4,Group_03,District_036,Market_155
Store_9568,StoreType_5,StoreFormat_46,State_33,Region_2,Group_24,District_173,Market_069
Store_9927,StoreType_5,StoreFormat_11,State_37,Region_3,Group_14,District_041,Market_057
Store_7981,StoreType_5,StoreFormat_46,State_32,Region_4,Group_22,District_112,Market_005
Store_3084,StoreType_5,StoreFormat_31,State_40,Region_4,Group_20,District_060,Market_211
Store_7607,StoreType_5,StoreFormat_38,State_42,Region_4,Group_16,District_089,Market_140
Store_8583,StoreType_5,StoreFormat_02,State_19,Region_3,Group_02,District_010,Market_251
Store_7402,StoreType_5,StoreFormat_27,State_19,Region_3,Group_02,District_010,Market_374
Store_3637,StoreType_5,StoreFormat_46,State_47,Region_3,Group_14,District_141,Market_364
Store_7163,StoreType_5,StoreFormat_46,State_47,Region_3,Group_14,District_056,Market_036
Store_6382,StoreType_5,StoreFormat_46,State_47,Region_3,Group_14,District_056,Market_120
Store_4853,StoreType_5,StoreFormat_02,State_48,Region_4,Group_16,District_105,Market_414
Store_9323,StoreType_5,StoreFormat_02,State_42,Region_4,Group_16,District_016,Market_252
