Evidence_ID (PK),Incident_ID,Merchandise_Evidence_DPCI,Evidence_Quantity,Evidence_Retail_Price
52,Incident_095,030-33-9078,1,30
53,Incident_095,089-66-1022,1,13.59
54,Incident_095,020-43-3907,1,6.89
55,Incident_095,020-43-0764,1,2.99
56,Incident_095,020-64-6805,1,6.69
57,Incident_095,020-63-4459,1,5.49
58,Incident_095,059-53-5291,1,1.89
59,Incident_095,111-66-7246,1,16.95
60,Incident_095,022-35-3603,1,179.99
61,Incident_345,086-24-1804,2,49.99
62,Incident_345,086-11-7815,1,17.99
63,Incident_345,086-11-2240,1,11.59
64,Incident_345,037-65-5177,1,19.99
65,Incident_345,037-65-6219,1,23.99
66,Incident_345,037-65-0807,1,18.99
67,Incident_345,037-65-5485,1,18.99
68,Incident_345,037-11-8940,1,24.99
69,Incident_345,037-11-6283,1,24.99
70,Incident_345,037-64-2562,1,11.99
71,Incident_345,037-64-3414,1,14.99
72,Incident_345,054-39-3136,1,17.49
73,Incident_345,054-39-2441,1,17.49
74,Incident_345,054-42-0887,1,35
75,Incident_345,014-25-4873,1,23
76,Incident_345,014-07-7884,1,22.99
77,Incident_345,014-63-0144,1,7
78,Incident_345,014-63-2754,1,7
79,Incident_345,014-39-9003,1,25
80,Incident_345,011-66-3443,1,19.99
81,Incident_345,021-13-2274,1,24.99
82,Incident_345,021-13-2875,1,24.99
83,Incident_345,052-51-9404,1,6.29
84,Incident_345,052-64-0680,1,42.99
85,Incident_345,052-64-5360,1,39.99
86,Incident_345,005-27-5686,1,5.99
87,Incident_345,009-64-3426,1,49.99
88,Incident_345,007-65-8322,1,4.89
89,Incident_345,021-66-0010,1,34.99
90,Incident_345,059-25-0919,1,6.29
91,Incident_345,059-25-8499,1,9.99
92,Incident_345,095-24-5635,1,4.49
93,Incident_099,044-43-2182,1,17.5
94,Incident_099,013-35-5638,1,25
95,Incident_099,013-48-0955,1,16.8
96,Incident_099,014-25-0387,1,5.6
97,Incident_099,014-25-0597,1,8.4
98,Incident_099,014-25-3782,1,5.6
99,Incident_099,014-25-6524,1,5.6
100,Incident_099,014-25-4909,1,5.6
101,Incident_099,014-25-6767,1,5.6
102,Incident_099,014-63-0513,1,8.4
103,Incident_099,011-45-0048,1,14.99
104,Incident_099,052-66-5023,1,9.8
105,Incident_099,052-66-3050,1,9.8
106,Incident_099,008-43-1669,1,24.5
107,Incident_099,002-66-1364,1,12.5
108,Incident_065,025-31-4382,1,18
109,Incident_065,025-31-2370,1,20
110,Incident_065,025-31-6232,1,18
111,Incident_065,012-11-9390,1,14.99
112,Incident_065,012-11-0482,1,10.99
113,Incident_065,012-11-8433,1,6.19
114,Incident_065,012-11-1273,1,6.49
115,Incident_065,012-11-5404,1,10.99
116,Incident_065,022-49-7935,1,29.99
117,Incident_065,019-51-3504,1,5
118,Incident_065,019-51-8520,2,5
119,Incident_065,019-51-0765,1,5
120,Incident_065,019-64-1472,2,3
121,Incident_065,019-64-0828,1,3
122,Incident_054,059-43-7447,1,3.5
123,Incident_054,097-51-6522,1,8.5
124,Incident_054,097-49-0006,1,7.5
125,Incident_054,052-51-0774,1,14.99
126,Incident_054,115-51-7270,1,8.39
127,Incident_054,115-35-1471,1,2.99
128,Incident_054,057-45-1730,1,20
129,Incident_340,002-49-0001,8,4.99
130,Incident_355,014-07-0497,1,28
131,Incident_363,037-65-7731,1,15
132,Incident_363,018-65-8499,1,4.99
133,Incident_363,019-51-2028,1,5
134,Incident_363,019-62-7819,1,1
135,Incident_421,013-35-2987,1,24.99
136,Incident_421,013-35-3552,1,24.99
137,Incident_421,013-35-0604,1,19.99
138,Incident_421,013-25-4712,1,20
139,Incident_421,013-25-0399,1,19.99
140,Incident_421,013-25-0099,1,19.99
141,Incident_421,019-51-5270,1,5
142,Incident_421,019-51-2028,1,5
143,Incident_421,019-11-1195,1,5
144,Incident_421,019-11-0808,1,5
145,Incident_421,019-11-2020,1,5
146,Incident_421,019-64-1392,1,3
147,Incident_421,019-64-8749,1,5
148,Incident_421,019-64-0828,1,3
149,Incident_421,019-02-3277,1,3
150,Incident_421,019-62-1359,1,5
151,Incident_037,031-65-4378,1,12
152,Incident_037,031-65-5854,1,18
153,Incident_037,031-65-3570,1,18
154,Incident_037,054-11-4568,1,29.99
155,Incident_037,054-11-7058,1,29.99
156,Incident_037,054-11-1953,1,29.99
157,Incident_037,054-11-0895,1,29.99
158,Incident_037,054-05-4212,1,32.99
159,Incident_037,054-05-5307,1,32.99
160,Incident_222,086-31-1569,2,59.98
161,Incident_222,007-51-4134,2,20
162,Incident_222,007-65-4695,2,17.58
163,Incident_222,007-65-3880,2,25.38
164,Incident_222,007-65-0675,2,15.98
165,Incident_222,007-65-0233,2,14.98
166,Incident_222,007-43-2522,2,27.98
167,Incident_222,019-64-0828,2,6
168,Incident_052,025-31-2340,1,20
169,Incident_052,025-31-0028,1,10
170,Incident_052,037-51-4462,1,23
171,Incident_052,037-65-4528,1,18.99
172,Incident_052,037-05-0132,1,9.99
173,Incident_052,031-35-4032,1,3
174,Incident_052,114-09-4004,2,5.1
175,Incident_131,044-51-1456,1,15
176,Incident_131,044-51-0145,1,15
177,Incident_131,044-66-6757,1,27.99
178,Incident_131,044-66-1435,1,30
179,Incident_131,044-66-1807,1,29
180,Incident_131,044-66-1957,1,29
181,Incident_131,044-66-0325,2,29
182,Incident_131,044-66-0267,1,29
183,Incident_307,002-45-9065,4,9.57
184,Incident_307,031-51-1839,1,5.4
185,Incident_307,031-51-4272,1,5.4
186,Incident_307,052-45-0106,1,7.49
187,Incident_307,014-45-0055,1,1.99
188,Incident_307,015-66-0980,1,7.5
189,Incident_307,002-24-0203,1,10.99
190,Incident_307,059-07-0310,2,2.99
191,Incident_307,100-65-9695,1,6.49
192,Incident_307,100-11-0928,1,4.99
193,Incident_307,100-11-5195,1,4.99
194,Incident_307,100-09-0113,1,4.49
195,Incident_307,096-05-1877,1,5.79
196,Incident_307,096-05-2742,1,2.29
197,Incident_160,021-66-5048,1,35
198,Incident_160,021-43-5167,1,30
199,Incident_160,003-66-5836,1,36
200,Incident_160,003-43-2025,1,28
201,Incident_160,003-33-6102,1,32
202,Incident_160,003-33-2063,1,24
203,Incident_160,003-29-1618,1,24.99
204,Incident_160,003-29-4564,1,24.99
205,Incident_160,003-29-1730,1,24.99
206,Incident_160,003-29-2922,1,24.99
207,Incident_160,003-29-0113,1,24.99
208,Incident_160,044-31-0506,1,6
209,Incident_160,044-66-1048,1,25
210,Incident_160,044-66-1394,1,29
211,Incident_160,044-48-6506,1,25
212,Incident_160,044-43-2693,1,19
213,Incident_160,044-43-2436,1,35
214,Incident_160,044-05-0772,1,22
215,Incident_160,052-35-2192,1,19.99
216,Incident_160,059-49-5039,1,5
217,Incident_160,059-49-2912,1,6
218,Incident_160,097-49-2281,1,17
219,Incident_160,097-49-0688,1,18
220,Incident_160,057-48-8544,1,16
221,Incident_160,057-48-2470,1,22
222,Incident_160,057-48-4497,1,22
223,Incident_160,057-48-3302,1,24
224,Incident_160,057-48-3832,1,24
225,Incident_160,057-48-0983,1,20
226,Incident_160,057-48-0281,1,24
227,Incident_160,057-48-2651,2,24
228,Incident_160,057-48-1187,1,24
229,Incident_160,057-24-5610,1,20
230,Incident_160,007-24-6162,1,18
231,Incident_160,007-64-0986,1,42
232,Incident_160,007-64-5693,1,40
233,Incident_160,007-49-7172,1,23
234,Incident_160,007-49-2925,1,20
235,Incident_160,007-49-2155,1,28
236,Incident_160,007-49-2696,1,25
237,Incident_160,007-49-4303,1,28
238,Incident_160,007-49-4688,1,28
239,Incident_160,007-49-2274,1,18
240,Incident_160,007-07-3662,1,24
241,Incident_160,002-31-4797,1,10
242,Incident_160,002-31-2655,1,10
243,Incident_160,002-31-0007,1,10
244,Incident_160,002-35-0891,1,12.6
245,Incident_160,002-66-4921,1,25
246,Incident_160,002-66-1888,1,25
247,Incident_160,002-66-3428,1,25
248,Incident_160,002-48-0682,1,22
249,Incident_160,002-05-0583,1,16
250,Incident_133,001-48-2832,1,12.49
251,Incident_133,003-33-0163,1,32
252,Incident_133,013-35-0035,1,8.99
253,Incident_133,014-63-3289,1,28
254,Incident_133,052-66-0345,1,14
255,Incident_133,052-66-5160,1,14
256,Incident_133,052-66-2798,1,14
257,Incident_133,052-66-3128,1,14
258,Incident_133,023-07-4115,3,34.99
259,Incident_133,066-31-0336,7,29.99
260,Incident_423,086-35-9441,1,69.99
261,Incident_423,059-49-6213,1,5
262,Incident_423,059-49-3507,1,7
263,Incident_423,059-49-2264,1,7
264,Incident_423,059-49-1291,1,5
265,Incident_423,059-49-2798,1,6
266,Incident_423,097-49-3294,1,15
267,Incident_423,097-49-1882,1,15
268,Incident_423,097-49-0735,1,15
269,Incident_423,001-11-1175,1,2.99
270,Incident_423,001-11-1986,1,21.99
271,Incident_423,002-65-0052,1,6.99
272,Incident_423,002-65-2410,2,9.99
273,Incident_423,002-31-2399,1,8
274,Incident_423,002-31-5902,1,8
275,Incident_423,002-48-5928,1,15
276,Incident_423,002-48-6917,1,18
277,Incident_423,002-05-2359,1,8
278,Incident_402,010-65-0198,1,2
279,Incident_402,086-24-5713,1,79.99
280,Incident_402,037-31-0710,1,35
281,Incident_402,018-65-7240,1,5.89
282,Incident_402,018-65-1796,2,2.99
283,Incident_402,018-43-2522,1,2.29
284,Incident_402,007-51-7360,1,19.95
285,Incident_402,002-49-2089,1,29.99
286,Incident_402,002-49-2944,1,59.99
287,Incident_402,002-49-1253,1,29.99
288,Incident_402,002-49-2921,2,29.99
289,Incident_402,002-49-0832,3,6.99
290,Incident_402,002-49-2246,1,24.99
291,Incident_402,002-49-1542,3,6.99
292,Incident_402,002-49-0255,9,19.98
293,Incident_402,002-49-0757,2,26.99
294,Incident_402,002-49-0139,1,24.99
295,Incident_402,045-48-0085,1,3.89
296,Incident_402,045-09-4911,1,12.69
297,Incident_402,096-66-2010,1,3.29
298,Incident_402,022-51-9404,1,34.99
299,Incident_014,086-65-8400,1,159.99
300,Incident_014,086-65-2142,1,199.99
301,Incident_014,086-65-9306,1,79.99
302,Incident_014,001-11-7248,1,9.99
303,Incident_014,001-11-4485,1,9.99
304,Incident_014,001-11-3353,1,21.99
305,Incident_014,001-11-3192,1,9.99
306,Incident_014,001-11-2940,1,9.99
307,Incident_014,001-11-0115,1,9.99
308,Incident_143,086-24-0444,2,49.99
309,Incident_143,037-65-1030,1,27.49
310,Incident_143,037-65-6833,1,22.99
311,Incident_143,037-65-3498,1,23.99
312,Incident_143,037-35-3927,1,18.49
313,Incident_143,037-05-2797,1,19.99
314,Incident_143,054-65-4106,1,32.99
315,Incident_143,054-65-5996,1,29.99
316,Incident_143,054-05-1957,1,32.99
317,Incident_143,037-48-4822,1,22.5
318,Incident_143,018-31-1582,2,0.99
319,Incident_443,002-49-2078,1,26.99
320,Incident_443,002-49-0757,1,26.99
321,Incident_443,002-49-0032,1,44.99
322,Incident_443,042-31-3378,1,99.99
323,Incident_443,018-31-7873,1,0.99
324,Incident_333,014-07-5119,1,6
325,Incident_333,014-07-3744,1,9
326,Incident_333,014-63-5630,1,18
327,Incident_333,014-63-1992,1,12
328,Incident_229,002-45-9065,1,3.19
329,Incident_229,037-05-8135,1,10.99
330,Incident_229,011-45-2259,1,15
331,Incident_229,052-51-5148,1,5.89
332,Incident_229,031-43-5217,1,4.5
333,Incident_229,031-05-2938,1,7
334,Incident_229,009-64-6472,1,64.99
335,Incident_229,002-49-1846,2,59.99
336,Incident_229,002-49-0255,3,9.99
337,Incident_229,002-49-0678,3,9.99
338,Incident_229,002-49-0006,1,26.99
339,Incident_229,042-66-3307,1,9.99
340,Incident_229,045-65-7102,1,4.19
341,Incident_186,044-43-5216,1,10.5
342,Incident_186,044-43-0042,1,19.6
343,Incident_186,060-66-1649,1,16
344,Incident_186,037-48-1175,1,14.99
345,Incident_186,037-25-5057,1,18
346,Incident_186,031-65-1307,1,16
347,Incident_186,054-65-5996,1,29.99
348,Incident_186,018-65-6655,1,5.99
349,Incident_186,009-64-0203,1,69.99
350,Incident_264,021-43-0022,1,35
351,Incident_264,052-35-1796,1,17.99
352,Incident_264,052-35-0529,1,17.99
353,Incident_264,052-35-2068,1,17.99
354,Incident_264,018-65-0882,1,3.39
355,Incident_264,100-49-9027,2,1.89
356,Incident_264,057-45-7601,1,20
357,Incident_264,057-64-4004,1,20
358,Incident_264,057-64-1811,1,20
359,Incident_264,057-64-3404,1,20
360,Incident_264,019-11-1586,1,5
361,Incident_264,045-05-1238,1,9.49
362,Incident_264,096-65-6106,1,3.49
363,Incident_264,096-48-9537,1,2.99
364,Incident_264,096-48-6497,1,2.89
365,Incident_264,002-11-5952,1,16
366,Incident_264,002-11-6699,1,16
367,Incident_414,001-45-1819,1,29.99
368,Incident_414,001-45-1809,1,14.99
369,Incident_414,001-11-4369,1,49.99
370,Incident_414,012-09-3487,1,21.99
371,Incident_404,021-31-3723,1,10
372,Incident_404,021-51-0389,1,16
373,Incident_404,052-35-3081,1,19.99
374,Incident_404,097-48-5618,1,22.99
375,Incident_404,097-49-1688,1,15
376,Incident_404,037-64-4186,1,4.49
377,Incident_404,037-64-1745,1,5.99
378,Incident_404,031-35-0217,1,7
379,Incident_404,012-65-3274,1,9.99
380,Incident_404,083-51-2585,1,15
381,Incident_404,002-05-5693,1,8
382,Incident_359,023-65-6016,1,59.99
383,Incident_359,066-31-0836,1,69.99
384,Incident_359,001-11-5287,1,44.99
385,Incident_359,007-29-4312,3,29.99
386,Incident_359,042-71-2030,1,59.99
387,Incident_445,010-48-3711,1,18
388,Incident_445,010-02-7936,1,14
389,Incident_445,053-66-3919,1,5.99
390,Incident_445,086-35-5039,2,119.98
391,Incident_445,086-35-1761,1,49.99
392,Incident_445,044-51-0162,1,15
393,Incident_445,037-66-0433,1,17
394,Incident_445,037-66-0343,1,17
395,Incident_445,037-45-6106,1,30
396,Incident_445,037-24-2461,1,20
397,Incident_445,037-24-0630,1,20
398,Incident_445,049-09-0628,1,19.99
399,Incident_445,049-09-6917,1,16.99
400,Incident_445,030-43-1058,1,12
401,Incident_445,131-11-4570,1,5.99
402,Incident_445,131-11-3825,1,5.99
403,Incident_445,131-11-6680,1,5.99
404,Incident_445,131-11-1672,1,7.99
405,Incident_445,131-11-6299,1,9.99
406,Incident_445,131-11-2839,1,12.99
407,Incident_445,131-11-1403,1,5.99
408,Incident_445,131-11-1901,1,7.99
409,Incident_445,131-11-1955,1,9.99
410,Incident_445,131-11-1389,7,2.99
411,Incident_445,131-11-0486,1,9.99
412,Incident_445,131-11-0412,1,7.99
413,Incident_445,131-05-0370,1,14.39
414,Incident_445,131-49-4366,2,7.99
415,Incident_445,131-49-0634,1,8.99
416,Incident_445,131-09-0135,1,36.49
417,Incident_445,035-65-4989,1,14
418,Incident_445,054-33-3039,1,34
419,Incident_445,014-63-2240,1,10
420,Incident_445,052-66-0037,1,14
421,Incident_445,052-66-5008,1,14
422,Incident_445,052-31-2830,1,6.99
423,Incident_445,052-66-4564,1,1.49
424,Incident_445,052-45-6424,1,5.49
425,Incident_445,052-45-8245,1,10.89
426,Incident_445,052-45-2827,1,5.89
427,Incident_445,014-48-2204,1,10.99
428,Incident_445,014-48-0310,1,10.99
429,Incident_445,014-48-3236,1,21.99
430,Incident_445,014-48-5786,1,21.99
431,Incident_445,014-48-9758,1,21.99
432,Incident_445,014-48-2235,1,21.99
433,Incident_445,014-48-6646,1,27.99
434,Incident_445,014-48-8603,1,19.99
435,Incident_445,014-48-5889,1,10.99
436,Incident_445,014-48-2871,1,27.99
437,Incident_445,014-48-0980,1,27.99
438,Incident_445,014-48-3447,1,10.99
439,Incident_445,014-48-0537,1,10.99
440,Incident_445,014-48-0956,1,27.99
441,Incident_445,014-64-4833,2,9.99
442,Incident_445,014-05-8323,1,19.99
443,Incident_445,014-05-3565,1,40
444,Incident_445,014-05-0182,1,8.99
445,Incident_445,014-07-4163,1,6
446,Incident_445,014-07-4901,1,12
447,Incident_445,014-07-0240,1,6
448,Incident_445,014-07-1104,1,6
449,Incident_445,014-07-1361,1,6
450,Incident_445,014-07-5398,1,6
451,Incident_445,014-07-0145,1,6
452,Incident_445,014-63-0131,1,14
453,Incident_445,014-63-1126,1,14
454,Incident_445,014-63-4520,1,14
455,Incident_445,014-42-6772,1,15
456,Incident_445,014-42-4009,1,15
457,Incident_445,014-42-3586,1,14.99
458,Incident_445,014-42-0008,1,15
459,Incident_445,014-42-0004,1,15
460,Incident_445,018-65-8391,1,4.19
461,Incident_445,018-65-0084,1,6.59
462,Incident_445,023-31-2918,1,19.99
463,Incident_445,066-31-3158,2,14.99
464,Incident_445,089-66-2817,1,13.6
465,Incident_445,089-66-0126,1,10.39
466,Incident_445,089-66-5153,1,10.36
467,Incident_445,079-45-2122,1,17
468,Incident_445,079-45-2719,1,17
469,Incident_445,079-45-5414,2,17
470,Incident_445,035-48-8052,2,4
471,Incident_445,115-31-2752,1,16.99
472,Incident_445,115-31-0351,1,19.99
473,Incident_445,115-31-0084,1,21.99
474,Incident_445,115-65-0722,1,3.49
475,Incident_445,115-65-2922,1,4.99
476,Incident_445,115-65-1156,1,6.99
477,Incident_445,115-65-0944,1,9.29
478,Incident_445,115-65-3055,1,3.49
479,Incident_445,115-43-8627,1,80
480,Incident_445,105-49-5563,1,40
481,Incident_445,039-31-2344,1,19.99
482,Incident_445,059-24-1981,1,18
483,Incident_445,001-11-2978,1,21.99
484,Incident_445,001-11-2742,1,29.99
485,Incident_445,001-11-5315,1,12.99
486,Incident_445,001-11-7941,1,16.99
487,Incident_445,001-11-2410,1,16.99
488,Incident_445,001-11-0037,1,29.99
489,Incident_445,001-11-0742,1,14.99
490,Incident_445,001-11-0734,1,19.99
491,Incident_445,021-24-1238,1,119.99
492,Incident_445,012-25-8371,1,13.39
493,Incident_445,002-09-0162,2,39.99
494,Incident_445,002-49-1058,20,4.99
495,Incident_445,083-51-3421,2,24
496,Incident_445,083-51-0015,1,17
497,Incident_445,083-51-0299,1,17
498,Incident_445,083-51-1097,1,17
499,Incident_445,022-25-4414,1,10
500,Incident_445,069-31-1790,1,14.99
501,Incident_445,047-66-0290,1,15
502,Incident_445,047-66-0378,1,15
503,Incident_445,047-66-5022,1,22
504,Incident_445,047-66-4530,2,15
505,Incident_445,062-51-3775,1,12
506,Incident_445,062-51-1226,1,8
507,Incident_445,062-51-1895,1,14
508,Incident_445,062-51-1215,1,11
509,Incident_445,062-48-5043,1,11
510,Incident_445,062-48-3734,1,12
511,Incident_445,013-35-1793,1,19.99
512,Incident_445,013-35-3578,1,19.99
513,Incident_445,013-35-0941,2,19.99
514,Incident_445,013-25-0968,1,20
515,Incident_445,013-25-3929,1,19.99
516,Incident_445,013-25-1981,1,20
517,Incident_445,013-25-2084,1,20
518,Incident_445,013-25-0943,1,19.99
519,Incident_445,013-25-0861,1,20
520,Incident_445,007-65-3296,1,23
521,Incident_445,007-49-5201,1,25
522,Incident_445,057-35-1139,1,25.49
523,Incident_445,057-35-5248,1,31.99
524,Incident_445,070-35-0421,1,8.49
525,Incident_445,096-65-3039,1,2.69
526,Incident_445,095-35-5215,1,4.99
527,Incident_445,018-31-9153,2,0.99
528,Incident_445,035-66-7433,1,17
529,Incident_445,021-66-2757,1,10
530,Incident_445,007-31-8328,1,219.99
531,Incident_445,002-51-4109,1,12
532,Incident_445,002-05-2932,1,20
533,Incident_445,002-05-0485,1,20
534,Incident_445,028-66-7077,1,10
535,Incident_445,028-45-2576,1,15
536,Incident_445,028-45-0348,1,15
537,Incident_224,083-51-3421,1,12
538,Incident_224,083-66-2144,1,20
539,Incident_224,013-24-9191,1,10
540,Incident_224,013-09-2541,1,8
541,Incident_224,013-09-5837,1,7
542,Incident_224,013-51-4381,1,3.6
543,Incident_224,013-51-0094,1,10
544,Incident_224,008-24-3815,1,39.99
545,Incident_224,056-51-0644,1,14
546,Incident_224,056-35-1505,1,17
547,Incident_224,002-51-3898,1,16
548,Incident_224,002-51-0007,1,10
549,Incident_224,002-05-2246,1,12
550,Incident_390,042-31-2123,1,149.99
551,Incident_376,115-43-4087,1,42.99
552,Incident_239,025-31-5424,1,20
553,Incident_239,020-45-3091,1,2.99
554,Incident_239,007-51-5695,1,4.25
555,Incident_239,007-65-4994,1,1.79
556,Incident_239,069-31-5444,1,14.99
557,Incident_239,069-31-0377,1,2.5
558,Incident_239,013-25-6726,1,19.99
559,Incident_239,013-25-1456,1,19.99
560,Incident_239,013-25-0399,1,19.99
561,Incident_239,089-25-3991,1,4.59
562,Incident_309,002-64-0006,1,19.99
563,Incident_309,002-49-0661,1,26.99
564,Incident_309,007-07-5584,1,15
565,Incident_309,007-07-3662,1,24
566,Incident_396,086-35-1835,1,79.99
567,Incident_396,086-35-3593,1,79.99
568,Incident_103,053-48-1854,1,3.99
569,Incident_103,002-45-9065,1,3.19
570,Incident_103,052-45-6292,1,15.99
571,Incident_103,059-49-3495,1,4.9
572,Incident_103,097-49-1243,1,14.4
573,Incident_103,097-49-0370,1,14.4
574,Incident_103,037-45-0822,1,30
575,Incident_103,025-31-5906,1,20
576,Incident_103,025-45-5344,1,9
577,Incident_103,052-66-0377,1,14
578,Incident_103,012-25-6805,1,14.49
579,Incident_103,002-48-5922,1,22.99
580,Incident_103,002-49-7006,1,29.99
581,Incident_103,002-49-0836,2,27.99
582,Incident_103,057-35-6524,1,25
583,Incident_103,057-24-2127,1,20
584,Incident_103,019-51-6484,1,5
585,Incident_103,019-49-1189,1,5
586,Incident_103,019-25-2540,1,5
587,Incident_103,019-25-3144,1,5
588,Incident_103,019-25-1571,1,3
589,Incident_103,019-25-0287,1,3
590,Incident_103,019-07-2965,1,5
591,Incident_127,131-48-7717,1,5.99
592,Incident_127,014-31-3167,1,8.99
593,Incident_127,014-65-5321,1,6.99
594,Incident_127,014-45-3622,1,10.99
595,Incident_127,014-45-0119,1,7.99
596,Incident_127,014-45-1667,1,14.49
597,Incident_127,014-24-3617,1,8.99
598,Incident_127,014-24-2652,1,10.99
599,Incident_127,014-64-0823,1,10.49
600,Incident_127,014-02-4754,1,7.99
601,Incident_127,014-02-2461,1,12.99
602,Incident_127,014-63-2705,1,9
603,Incident_127,014-63-0767,1,7
604,Incident_127,115-31-0800,1,9.99
605,Incident_127,115-66-4549,1,2.59
606,Incident_127,013-35-1214,1,7.99
607,Incident_127,013-35-0552,1,11.99
608,Incident_127,013-64-0073,1,4
609,Incident_127,019-51-7094,1,5
610,Incident_127,019-51-3008,1,5
611,Incident_127,019-11-1586,1,5
612,Incident_427,020-11-0117,1,6.49
613,Incident_427,007-66-1795,1,9.99
614,Incident_427,007-29-2003,3,4
615,Incident_427,059-54-6466,1,7.39
616,Incident_427,089-31-5039,1,5.29
617,Incident_427,089-64-1208,1,10.79
618,Incident_427,028-24-8035,2,9.78
619,Incident_427,068-64-4994,1,7.49
620,Incident_427,068-71-4115,1,4.49
621,Incident_427,068-47-2461,1,5.99
622,Incident_119,030-65-3085,3,28
623,Incident_119,030-43-0363,1,20
624,Incident_119,035-51-1834,1,18
625,Incident_119,005-51-6316,1,6
626,Incident_119,005-48-1864,1,3.5
627,Incident_119,031-66-1288,2,19.98
628,Incident_119,059-65-1888,2,32
629,Incident_119,012-45-8314,1,5.99
630,Incident_119,047-48-2850,2,30
631,Incident_119,094-51-6510,1,23
632,Incident_119,056-64-0124,1,15
633,Incident_119,056-64-0551,1,28
634,Incident_119,028-24-2246,1,18
635,Incident_178,001-51-4914,1,7.49
636,Incident_178,021-51-2830,1,12
637,Incident_178,044-43-3744,1,12
638,Incident_178,059-49-4158,1,4.9
639,Incident_178,059-49-5695,1,6
640,Incident_178,059-49-4302,1,7
641,Incident_178,059-49-2058,1,7
642,Incident_178,059-49-3939,1,7
643,Incident_178,059-49-2933,1,6
644,Incident_178,059-49-0432,1,6
645,Incident_178,097-49-1219,1,17
646,Incident_178,037-31-2332,1,20
647,Incident_178,037-66-1607,1,25
648,Incident_178,037-45-8398,1,45
649,Incident_178,037-64-2236,1,7
650,Incident_178,025-66-1262,1,13.99
651,Incident_178,049-51-1177,1,9.99
652,Incident_178,131-49-5747,1,25.99
653,Incident_178,131-09-1232,1,19.99
654,Incident_178,014-25-0800,1,2.99
655,Incident_178,011-45-3129,1,19.99
656,Incident_178,079-31-2953,1,15.99
657,Incident_178,083-51-0020,1,15
658,Incident_178,013-35-4978,1,11.99
659,Incident_178,013-35-5487,1,11.99
660,Incident_178,068-67-4627,1,3.69
661,Incident_178,002-48-5303,1,14.4
662,Incident_178,028-48-1332,1,15
663,Incident_178,028-45-5070,1,20
664,Incident_104,001-31-6888,1,12.99
665,Incident_104,001-31-5550,1,12.99
666,Incident_104,059-49-5695,3,6
667,Incident_104,097-49-1523,1,15
668,Incident_104,097-49-1688,1,15
669,Incident_104,097-49-0554,1,15
670,Incident_104,097-49-1714,1,10
671,Incident_104,097-49-0642,1,15
672,Incident_104,097-49-1212,1,18
673,Incident_104,097-49-1322,1,18
674,Incident_104,097-49-1029,1,18
675,Incident_104,037-45-6106,1,30
676,Incident_104,037-45-5119,1,35
677,Incident_104,012-48-3686,1,0.99
678,Incident_104,012-48-0095,1,7.99
679,Incident_104,013-66-1100,1,16
680,Incident_104,057-35-3631,1,30
681,Incident_104,057-48-4497,1,22
682,Incident_104,057-24-3700,1,20
683,Incident_104,013-35-0612,1,19.99
684,Incident_104,013-35-0523,1,29.99
685,Incident_104,013-25-2444,1,20
686,Incident_104,007-65-2332,1,42
687,Incident_104,007-45-1919,1,45
688,Incident_104,007-64-1131,1,40
689,Incident_104,007-07-4993,1,18
